,Genotype,Location,Infection_Status,PBS_IFNg,CD3_CD28_IFNg,LPS_IFNg,Candida_IFNg,C..perfinges_IFNg,B..vulgatus_IFNg,T.muris_50ug.ml_IFNg,PBS_IL.5,CD3_CD28_IL.5,LPS_IL.5,Candida_IL.5,C..perfinges_IL.5,B..vulgatus_IL.5,T.muris_50ug.ml_IL.5,PBS_TNF.a,CD3_CD28_TNF.a,LPS_TNF.a,Candida_TNF.a,C..perfinges_TNF.a,B..vulgatus_TNF.a,T.muris_50ug.ml_TNF.a,PBS_IL.2,CD3_CD28_IL.2,LPS_IL.2,Candida_IL.2,C..perfinges_IL.2,B..vulgatus_IL.2,T.muris_50ug.ml_IL.2,PBS_IL.6,CD3_CD28_IL.6,LPS_IL.6,Candida_IL.6,C..perfinges_IL.6,B..vulgatus_IL.6,T.muris_50ug.ml_IL.6,PBS_IL.4,CD3_CD28_IL.4,LPS_IL.4,Candida_IL.4,C..perfinges_IL.4,B..vulgatus_IL.4,T.muris_50ug.ml_IL.4,PBS_IL.10,CD3_CD28_IL.10,LPS_IL.10,Candida_IL.10,C..perfinges_IL.10,B..vulgatus_IL.10,T.muris_50ug.ml_IL.10,PBS_IL.9,CD3_CD28_IL.9,LPS_IL.9,Candida_IL.9,C..perfinges_IL.9,B..vulgatus_IL.9,T.muris_50ug.ml_IL.9,PBS_IL.17A,CD3_CD28_IL.17A,LPS_IL.17A,Candida_IL.17A,C..perfinges_IL.17A,B..vulgatus_IL.17A,T.muris_50ug.ml_IL.17A,PBS_IL.22,CD3_CD28_IL.22,LPS_IL.22,Candida_IL.22,C..perfinges_IL.22,B..vulgatus_IL.22,T.muris_50ug.ml_IL.22,PBS_IL.13,CD3_CD28_IL.13,LPS_IL.13,Candida_IL.13,C..perfinges_IL.13,B..vulgatus_IL.13,T.muris_50ug.ml_IL.13
300,C57,SF,Tm,7.210720042,13.98550844,8.933454612,8.838226961,9.822953162,13.05411588,12.04352291,0.704871964,3.112700133,0.731183242,0.166715445,0.166715445,2.195347598,1.726831217,2.715893371,8.457257742,7.686360453,7.863690714,10.61226034,9.185098423,9.188885513,0.475084883,11.89404468,0.475084883,0.475084883,2.666756592,3.432959407,3.953265239,2.304511042,5.991408467,6.742410497,3.810443104,8.667927596,10.09196423,9.984988019,1.974529312,5.893119476,0.137503524,0.137503524,0.137503524,0.137503524,1.416839742,2.493134922,5.335318888,1.841168044,0.028569152,4.094742782,4.990909492,4.366671916,0.40053793,3.82374936,1.632268215,0.014355293,1.378511623,3.195347598,1.933572638,1.485426827,7.570918255,0.925999419,0.695993813,1.063502942,2.475084883,1.803227036,2.298658316,3.760220946,1.739848103,1.98550043,2.307428525,5.020591095,4.244887059,0.137503524,4.168321116,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
297,C57,SF,Tm,0.495695163,13.58085093,1.15704371,1.097610797,1.137503524,6.350850805,11.65768466,0.166715445,2.456806149,0.166715445,0.166715445,0.166715445,0.166715445,0.166715445,1.005759269,8.730368236,3.319039816,2.817623258,5.641546029,4.689299161,5.805808349,0.475084883,12.65999589,0.475084883,0.475084883,0.475084883,2.910732662,7.281512802,0.40053793,6.073820233,3.211012193,1.361768359,4.092545742,5.113117036,7.245362553,0.137503524,4.268284667,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.675364313,5.445792905,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,1.627606838,3.357552005,0.014355293,0.014355293,0.22650853,0.014355293,1.90303827,0.847996907,7.867464085,0.622930351,0.422233001,0.263034406,0.831877241,2.241840184,1.163498732,4.151371776,0.831877241,0.432959407,0.895302621,0.98550043,4.561326136,0.137503524,2.931683057,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
116,129,Lab,N,0.275007047,4.837943242,0.298658316,0.59454855,0.432959407,0.263034406,1.275007047,0.310340121,0.411426246,0.344828497,0.495695163,0.389566812,0.344828497,0.485426827,1.056583528,5.671859468,1.137503524,1.14404637,1.028569152,0.992768431,1.195347598,0.485426827,10.03471644,0.464668267,0.748461233,0.731183242,0.454175893,0.495695163,0.111031312,0.516015147,0.111031312,0.839959587,0.871843649,0.163498732,0.432959407,0.298658316,1.726831217,0.389566812,0.704871964,0.678071905,0.310340121,0.286881148,0.028569152,0.028569152,0.028569152,4.443341426,3.593234239,0.028569152,0.028569152,0.014355293,0.014355293,0.014355293,2.063502942,2.944858446,0.014355293,0.014355293,0,0.028569152,0.028569152,1.117695043,1.22650853,0.014355293,0.014355293,0.333423734,0.475084883,0.454175893,0.765534746,1.007195501,0.250961574,0.298658316,0.137503524,0.137503524,0.137503524,1.232660757,1.726831217,0.137503524,0.137503524
113,129,Lab,N,0.40053793,8.863814587,0.545968369,0.263034406,0.555816155,0.150559677,2.480265122,0.166715445,3.820689561,0.166715445,0.166715445,0.166715445,0.166715445,0.166715445,1.005759269,8.173677136,1.005759269,2.778208576,4.264536431,4.142413438,3.75595577,0.475084883,13.5134488,3.040892431,0.475084883,2.998195503,2.568032105,3.418189948,0.160920188,5.119356177,3.955126781,0.160920188,2.707082992,3.541019153,4.85847839,0.137503524,6.112700133,2.017921908,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,3.68851609,3.086953565,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,4.250203656,4.428276414,0.014355293,0.014355293,0.014355293,3.200064862,0.001441974,3.871843649,2.097610797,0.001441974,0.001441974,0.001441974,0.001441974,0.137503524,3.54225805,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,4.761285273,3.016139703,0.137503524,0.137503524,0.137503524,0.137503524
119,129,Lab,N,0.275007047,8.154716864,0.333423734,0.555816155,0.613531653,0.286881148,1.13093087,0.310340121,1.678071905,0.310340121,0.650764559,0.641546029,0.432959407,0.565597176,0.90303827,8.370164281,0.970853654,1.333423734,2.9202933,1.232660757,1.257010618,0.516015147,12.43755963,0.475084883,1.049630768,1.097610797,0.678071905,0.475084883,0.137503524,3.357552005,0.464668267,1.815575429,2.017921908,0.526068812,1.007195501,0.321928095,4.109360559,0.454175893,1.220329955,0.839959587,0.321928095,0.378511623,0.028569152,0.028569152,0.028569152,6.571646475,6.12122267,0.028569152,0.028569152,0.014355293,0.014355293,0.014355293,3.672425342,3.592158002,0.014355293,0.014355293,0.014355293,0.286881148,0.298658316,3.007195501,2.182692298,0.014355293,0.014355293,0.321928095,0.731183242,0.641546029,1.263034406,1.269033146,0.411426246,0.422233001,0.137503524,2.010779839,0.201633861,2.771885579,2.553360503,0.137503524,0.137503524
102,129,Lab,N,0.613531653,7.841281284,0.298658316,0.659924558,0.545968369,0.722466024,2.485426827,0.166715445,3.813524689,0.166715445,0.166715445,0.166715445,0.166715445,0.166715445,1.005759269,7.506684448,1.005759269,2.280956314,4.266036894,3.593353771,3.580145484,3.187451054,12.8363956,2.40599236,2.952333566,2.992768431,2.454175893,3.280956314,0.160920188,4.847495884,2.372952098,1.09085343,2.538538164,3.723558561,4.9202933,0.137503524,5.49057013,0.137503524,1.361768359,0.137503524,0.137503524,0.137503524,0.028569152,3.116863758,0.979659552,2.772307975,0.028569152,0.147957881,0.028569152,0.014355293,3.700439718,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.001441974,3.13422094,0.001441974,0.001441974,0.001441974,0.001441974,0.001441974,0.137503524,2.46727948,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,4.553360503,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
107,129,Lab,Tm,0.310340121,11.21619413,0.604071324,0.782408565,0.613531653,0.82374936,8.1393467,0.298658316,7.747454538,0.344828497,0.641546029,0.286881148,0.298658316,1.292781749,1.350497247,9.613163271,2.304511042,6.851998837,5.821455119,3.385431037,4.508428653,0.526068812,0.475084883,1.042644337,1.333423734,0.90303827,0.90303827,6.096135325,0.189033824,8.17042585,1.956056652,2.97819563,2.244887059,4.004501392,7.366846735,0.367371066,9.334563807,0.35614381,1.176322773,0.321928095,0.367371066,2.163498732,0.028569152,7.772241984,0.028569152,5.883107571,0.028569152,0.028569152,0.028569152,0.014355293,7.998534018,0.014355293,4.280213996,0.014355293,0.014355293,4.480265122,0.014355293,4.020591095,0.028569152,1.941106311,0.014355293,0.028569152,0.042644337,0.378511623,4.377817853,0.555816155,1.378511623,0.422233001,0.526068812,2.372952098,0.137503524,7.851124363,0.137503524,2.689299161,0.137503524,0.137503524,1.678071905
112,129,Lab,Tm,0.485426827,8.270108407,0.454175893,0.659924558,0.422233001,0.650764559,4.786596362,0.166715445,6.117071624,0.166715445,0.166715445,0.166715445,0.166715445,0.166715445,1.005759269,7.290018847,1.005759269,3.528571319,4.948600847,3.986410935,4.075532631,3.448900951,12.71889671,2.324810603,3.35473424,0.475084883,4.306699707,5.664198369,0.160920188,5.207111961,3.893362211,2.440952198,4.275007047,5.18705509,5.981624361,2.286881148,7.182394353,0.137503524,0.137503524,2.341985747,0.137503524,3.509695842,0.028569152,4.779522387,0.825378604,2.748890543,1.948600847,1.186500558,2.325386415,0.014355293,5.919340082,0.014355293,4.448240225,0.014355293,4.489286023,0.014355293,0.001441974,3.926948248,0.001441974,1.739848103,0.659924558,0.941106311,0.001441974,0.137503524,2.6622055,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,5.717539343,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
121,129,Lab,Tm,2.809414444,14.33235899,1.839959587,1.22650853,1.084064265,1.176322773,3.768713657,0.166715445,8.730504103,0.166715445,0.166715445,0.166715445,0.166715445,0.166715445,3.295723025,8.299574371,3.670160514,4.059182199,5.307064162,4.06608919,3.64038956,2.336283388,12.60282411,3.005399988,0.475084883,0.475084883,0.475084883,3.809414444,3.524815928,7.571904299,4.003602237,0.160920188,3.885574364,4.174725988,4.873321063,0.137503524,9.866150711,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,7.491155625,2.969749128,0.028569152,0.028569152,0.028569152,1.470406711,0.014355293,8.44232151,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.001441974,6.015470808,1.871843649,0.001441974,0.001441974,0.001441974,0.001441974,0.137503524,5.446587085,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,7.546817308,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
114,129,SF,N,0.443606651,9.690085299,0.731183242,0.344828497,0.757023247,0.555816155,2.835924074,0.166715445,4.929790998,1.526068812,0.166715445,3.192194165,0.166715445,0.166715445,2.042644337,9.340985011,3.165107985,2.319039816,5.38024459,3.698218478,3.541019153,3.543495883,14.22594472,0.650764559,0.475084883,4.264536431,3.645009884,1.757023247,2.319039816,5.826039959,3.769771739,0.160920188,3.885574364,5.007195501,5.254745198,0.137503524,6.89251246,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,5.269706447,0.119024103,0.028569152,0.027154052,0.028569152,0.028569152,0.014355293,4.383358695,2.23572706,0.014355293,3.019701914,0.765534746,2.217230716,0.042644337,4.776103988,0.695993813,0.137503524,0.839959587,0.432959407,0.176322773,1.350497247,2.849999259,1.929790998,1.263034406,1.691534165,1.851998837,1.485426827,0.137503524,5.013015536,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
